item_id,item_name,combined_columns
10,Counter-Strike,Counter-Strike Action ValveCounter-Strike 76561198089393905 Action 2000 Valve
1002,Rag Doll Kung Fu,Rag Doll Kung Fu Indie Mark HealeyRag Doll Kung Fu phrostb Indie 2005 Mark Healey
100400,Silo 2,Silo 2 Animation &amp; Modeling Nevercenter Ltd. Co.Silo 2 piepai Animation &amp; Modeling 2012 Nevercenter Ltd. Co.
10090,Call of Duty: World at War,Call of Duty: World at War Action TreyarchCall of Duty: World at War diego9031 Action 2008 Treyarch
100980,3d-coat,3d-coat Animation &amp; Modeling Pilgway3d-coat 76561198032421615 Animation &amp; Modeling 2012 Pilgway
10100,King's Quest Collection,King's Quest Collection Adventure SierraKing's Quest Collection chidvd Adventure 2006 Sierra
10110,Space Quest Collection,Space Quest Collection Adventure SierraSpace Quest Collection chidvd Adventure 2006 Sierra
10120,Aces of the Galaxy,Aces of the Galaxy Action Artech StudiosAces of the Galaxy 76561198028286104 Action 2008 Artech Studios
10130,TimeShift,TimeShift Action Saber InteractiveTimeShift AMV72 Action 2007 Saber Interactive
10140,3D Ultra Minigolf Adventures Deluxe,3D Ultra Minigolf Adventures Deluxe Sports Wanako Games3D Ultra Minigolf Adventures Deluxe chidvd Sports 2006 Wanako Games
10150,Prototype,Prototype Action Radical EntertainmentPrototype iamthekingofbrowntown Action 2009 Radical Entertainment
10180,Call of Duty: Modern Warfare 2,"Call of Duty: Modern Warfare 2 Action Infinity Ward,Aspyr (Mac)Call of Duty: Modern Warfare 2 diego9031 Action 2009 Infinity Ward,Aspyr (Mac)"
10220,Postal 3,Postal 3 Action TrashmastersPostal 3 acorn13 Action 2011 Trashmasters
102200,Runespell: Overture,Runespell: Overture Adventure Mystic BoxRunespell: Overture chidvd Adventure 2011 Mystic Box
10230,Dead Mountaineer's Hotel,Dead Mountaineer's Hotel Adventure Electronic ParadiseDead Mountaineer's Hotel chidvd Adventure 2009 Electronic Paradise
10240,Stroke of Fate: Operation Valkyrie,Stroke of Fate: Operation Valkyrie Adventure SPLineStroke of Fate: Operation Valkyrie AMV72 Adventure 2009 SPLine
102400,Vertex Dispenser,Vertex Dispenser Action Michael BroughVertex Dispenser mrpfresh Action 2011 Michael Brough
10250,PT Boats: Knights of the Sea,PT Boats: Knights of the Sea Simulation Studio4PT Boats: Knights of the Sea chidvd Simulation 2009 Studio4
102500,Kingdoms of Amalur: Reckoning™,"Kingdoms of Amalur: Reckoning™ Action Big Huge Games,38 StudiosKingdoms of Amalur: Reckoning™ 76561198050347115 Action 2012 Big Huge Games,38 Studios"
10260,PT Boats: South Gambit,PT Boats: South Gambit Simulation studio4PT Boats: South Gambit chidvd Simulation 2010 studio4
102600,Orcs Must Die!,Orcs Must Die! Action Robot EntertainmentOrcs Must Die! 76561198048353577 Action 2011 Robot Entertainment
10270,Disciples III: Reincarnation,Disciples III: Reincarnation RPG AkellaDisciples III: Reincarnation chidvd RPG 2014 Akella
102700,A.V.A - Alliance of Valiant Arms,A.V.A - Alliance of Valiant Arms Action Red Duck Inc.A.V.A - Alliance of Valiant Arms maplemage Action 2011 Red Duck Inc.
102810,Gatling Gears,Gatling Gears Action Vanguard GamesGatling Gears Astrelt Action 2011 Vanguard Games
102840,Shank 2,Shank 2 Action Klei EntertainmentShank 2 maplemage Action 2012 Klei Entertainment
102850,WARP,WARP Action Trapdoor Inc.WARP mrpfresh Action 2012 Trapdoor Inc.
104000,iBomber Defense,iBomber Defense Indie Cobra MobileiBomber Defense chidvd Indie 2011 Cobra Mobile
104020,Storm in a Teacup,Storm in a Teacup Casual Cobra MobileStorm in a Teacup chidvd Casual 2012 Cobra Mobile
104200,BEEP,BEEP Adventure Big Fat AlienBEEP xfluttersx Adventure 2011 Big Fat Alien
10460,The Club,The Club Action Bizarre CreationsThe Club chidvd Action 2008 Bizarre Creations
104600,Portal 2 - The Final Hours,Portal 2 - The Final Hours Documentary Geoff KeighleyPortal 2 - The Final Hours EizanAratoFujimaki Documentary 2011 Geoff Keighley
104700,Super Monday Night Combat,Super Monday Night Combat Free to Play Uber EntertainmentSuper Monday Night Combat maplemage Free to Play 2012 Uber Entertainment
104900,ORION: Prelude,"ORION: Prelude Action Trek Industries, IncORION: Prelude DJKamBer Action 2013 Trek Industries, Inc"
10500,Empire: Total War,"Empire: Total War Strategy The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)Empire: Total War 76561198066046412 Strategy 2009 The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
105000,A New Beginning - Final Cut,A New Beginning - Final Cut Adventure Daedalic EntertainmentA New Beginning - Final Cut chidvd Adventure 2012 Daedalic Entertainment
105100,Lume,Lume Adventure State of Play GamesLume Infixation Adventure 2011 State of Play Games
105300,Critical Mass,Critical Mass Casual Manic Game StudiosCritical Mass Infixation Casual 2011 Manic Game Studios
105420,Ms. Splosion Man,Ms. Splosion Man Action Twisted Pixel GamesMs. Splosion Man AMV72 Action 2013 Twisted Pixel Games
105450,Age of Empires® III: Complete Collection,Age of Empires® III: Complete Collection Simulation Ensemble StudiosAge of Empires® III: Complete Collection sad-commie Simulation 2009 Ensemble Studios
105600,Terraria,Terraria Action Re-LogicTerraria maplemage Action 2011 Re-Logic
105700,Tobe's Vertical Adventure,Tobe's Vertical Adventure Action Secret BaseTobe's Vertical Adventure chidvd Action 2011 Secret Base
105800,PixelJunk Eden,PixelJunk Eden Action Q-Games Ltd.PixelJunk Eden sergarino Action 2012 Q-Games Ltd.
10680,Aliens vs. Predator,Aliens vs. Predator Action RebellionAliens vs. Predator GGargula Action 2010 Rebellion
107100,Bastion,Bastion Action Supergiant GamesBastion maplemage Action 2011 Supergiant Games
107200,Space Pirates and Zombies,Space Pirates and Zombies Action MinMax Games Ltd.Space Pirates and Zombies mrpfresh Action 2011 MinMax Games Ltd.
107300,Breath of Death VII ,Breath of Death VII  RPG Zeboyd GamesBreath of Death VII  Nozomikat RPG 2011 Zeboyd Games
107310,Cthulhu Saves the World ,Cthulhu Saves the World  Indie Zeboyd GamesCthulhu Saves the World  Nozomikat Indie 2011 Zeboyd Games
107410,Arma 3,Arma 3 Action Bohemia InteractiveArma 3 76561198048353577 Action 2013 Bohemia Interactive
107800,Rochard,Rochard Action Recoil GamesRochard mrpfresh Action 2011 Recoil Games
108110,Starpoint Gemini,Starpoint Gemini RPG Little Green Men GamesStarpoint Gemini chidvd RPG 2012 Little Green Men Games
108200,Ticket to Ride,Ticket to Ride Casual Days of WonderTicket to Ride maplemage Casual 2012 Days of Wonder
108210,Memoir '44 Online,Memoir '44 Online Casual Days of WonderMemoir '44 Online ii_voltage_ii Casual 2011 Days of Wonder
108500,Vessel,Vessel Action Strange Loop GamesVessel mrpfresh Action 2012 Strange Loop Games
108600,Project Zomboid,Project Zomboid Indie The Indie StoneProject Zomboid ulramite Indie 2013 The Indie Stone
108700,Death Rally,"Death Rally Action Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd.Death Rally mrpfresh Action 2012 Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd."
108710,Alan Wake,Alan Wake Action Remedy EntertainmentAlan Wake maplemage Action 2012 Remedy Entertainment
108800,Crysis 2 Maximum Edition,Crysis 2 Maximum Edition Action Crytek StudiosCrysis 2 Maximum Edition maplemage Action 2011 Crytek Studios
109200,Legend of Fae,Legend of Fae Casual Endlessfluff GamesLegend of Fae chidvd Casual 2011 Endlessfluff Games
109500,Fowl Space,Fowl Space Action Pixelante Game StudiosFowl Space chidvd Action 2012 Pixelante Game Studios
109600,Neverwinter,Neverwinter Action Cryptic StudiosNeverwinter ii_voltage_ii Action 2013 Cryptic Studios
109700,Achron,Achron Indie Hazardous Software Inc.Achron chidvd Indie 2011 Hazardous Software Inc.
11040,Sherlock Holmes: Nemesis,Sherlock Holmes: Nemesis Adventure FrogwaresSherlock Holmes: Nemesis AMV72 Adventure 2008 Frogwares
110400,inMomentum,inMomentum Indie Digital ArrowinMomentum chidvd Indie 2011 Digital Arrow
11050,Dracula: Origin,Dracula: Origin Adventure FrogwaresDracula: Origin chidvd Adventure 2008 Frogwares
110500,Data Jammers: FastForward,Data Jammers: FastForward Action Digital EelData Jammers: FastForward chidvd Action 2011 Digital Eel
110600,Astro Tripper,Astro Tripper Action PomPomAstro Tripper chidvd Action 2011 PomPom
110610,Alien Zombie Megadeath,Alien Zombie Megadeath Action PomPomAlien Zombie Megadeath chidvd Action 2011 PomPom
110630,Mutant Storm Reloaded,Mutant Storm Reloaded Action PomPom GamesMutant Storm Reloaded chidvd Action 2012 PomPom Games
110800,L.A. Noire,"L.A. Noire Adventure Team Bondi,Rockstar LeedsL.A. Noire 76561198089393905 Adventure 2011 Team Bondi,Rockstar Leeds"
111000,The Clockwork Man,The Clockwork Man Indie Total EclipseThe Clockwork Man chidvd Indie 2011 Total Eclipse
111010,The Clockwork Man: The Hidden World,The Clockwork Man: The Hidden World Adventure Total Eclipse P.C.The Clockwork Man: The Hidden World chidvd Adventure 2011 Total Eclipse P.C.
111100,Snuggle Truck,Snuggle Truck Casual Owlchemy LabsSnuggle Truck xfluttersx Casual 2012 Owlchemy Labs
11130,Sherlock Holmes: The Mystery of The Mummy,Sherlock Holmes: The Mystery of The Mummy Adventure FrogwaresSherlock Holmes: The Mystery of The Mummy DJKamBer Adventure 2008 Frogwares
111300,Smash Cars,Smash Cars Action Creat Studios IncSmash Cars chidvd Action 2011 Creat Studios Inc
11140,Sherlock Holmes: The Awakened - Remastered,Sherlock Holmes: The Awakened - Remastered Adventure FrogwaresSherlock Holmes: The Awakened - Remastered AMV72 Adventure 2008 Frogwares
111400,Bunch Of Heroes,Bunch Of Heroes Action NGD StudiosBunch Of Heroes 76561198015968275 Action 2011 NGD Studios
11150,Sherlock Holmes: The Secret of the Silver Earring,Sherlock Holmes: The Secret of the Silver Earring Adventure FrogwaresSherlock Holmes: The Secret of the Silver Earring AMV72 Adventure 2004 Frogwares
111600,Serious Sam Double D XXL,Serious Sam Double D XXL Action Mommy's Best GamesSerious Sam Double D XXL UTNerd24 Action 2011 Mommy's Best Games
111800,Blocks That Matter,Blocks That Matter Casual Swing Swing SubmarineBlocks That Matter maplemage Casual 2011 Swing Swing Submarine
11190,Sherlock Holmes versus Jack the Ripper,Sherlock Holmes versus Jack the Ripper Adventure FrogwaresSherlock Holmes versus Jack the Ripper AMV72 Adventure 2009 Frogwares
111900,Guardians of Middle-earth,Guardians of Middle-earth Action Zombie StudiosGuardians of Middle-earth MarbleShrine Action 2013 Zombie Studios
11200,Shadowgrounds: Survivor,Shadowgrounds: Survivor Action FrozenbyteShadowgrounds: Survivor MarbleShrine Action 2007 Frozenbyte
112100,Avadon: The Black Fortress,Avadon: The Black Fortress RPG Spiderweb SoftwareAvadon: The Black Fortress TeCool RPG 2011 Spiderweb Software
11230,Gumboy Tournament,"Gumboy Tournament Casual CINEMAX, s.r.o.Gumboy Tournament chidvd Casual 2008 CINEMAX, s.r.o."
11240,Space Trader: Merchant Marine,Space Trader: Merchant Marine Action Meridian4Space Trader: Merchant Marine chidvd Action 2008 Meridian4
11250,Pacific Storm,"Pacific Storm Simulation Buka Entertainment,Lesta StudioPacific Storm chidvd Simulation 2006 Buka Entertainment,Lesta Studio"
11260,Pacific Storm: Allies,Pacific Storm: Allies Simulation Lesta StudioPacific Storm: Allies chidvd Simulation 2007 Lesta Studio
11280,Penguins Arena: Sedna's World,Penguins Arena: Sedna's World Action FrogamesPenguins Arena: Sedna's World Forty-Nine Action 2008 Frogames
113020,Monaco,Monaco Action Pocketwatch GamesMonaco maplemage Action 2013 Pocketwatch Games
113200,The Binding of Isaac,The Binding of Isaac Action Edmund McMillen and Florian HimslThe Binding of Isaac maplemage Action 2011 Edmund McMillen and Florian Himsl
11330,Obulis,Obulis Casual IonFXObulis chidvd Casual 2009 IonFX
11340,Larva Mortus,Larva Mortus Action Meridian4Larva Mortus chidvd Action 2009 Meridian4
113400,APB Reloaded,APB Reloaded Action Reloaded ProductionsAPB Reloaded maplemage Action 2011 Reloaded Productions
113420,Fallen Earth,Fallen Earth Free to Play Reloaded ProductionsFallen Earth 76561198070565427 Free to Play 2011 Reloaded Productions
11360,Chains,Chains Indie 2DEngine.comChains Infixation Indie 2008 2DEngine.com
11450,Overlord,"Overlord RPG Triumph Studios,Virtual ProgrammingOverlord maplemage RPG 2007 Triumph Studios,Virtual Programming"
11480,Soldiers: Heroes of World War II,Soldiers: Heroes of World War II Strategy Best WaySoldiers: Heroes of World War II chidvd Strategy 2004 Best Way
115100,Costume Quest,Costume Quest Adventure Double Fine ProductionsCostume Quest EizanAratoFujimaki Adventure 2011 Double Fine Productions
115110,Stacking,Stacking Adventure Double Fine ProductionsStacking Mastic Adventure 2012 Double Fine Productions
115120,Iron Brigade,Iron Brigade Action Double Fine ProductionsIron Brigade Mastic Action 2012 Double Fine Productions
115200,Cossacks II: Napoleonic Wars,Cossacks II: Napoleonic Wars Strategy GSC Game WorldCossacks II: Napoleonic Wars chidvd Strategy 2005 GSC Game World
115210,American Conquest,American Conquest Strategy GSC Game WorldAmerican Conquest chidvd Strategy 2003 GSC Game World
115220,American Conquest - Fight Back,American Conquest - Fight Back Strategy GSC Game WorldAmerican Conquest - Fight Back chidvd Strategy 2003 GSC Game World
115320,PROTOTYPE 2,PROTOTYPE 2 Action Radical EntertainmentPROTOTYPE 2 jonasdbomb Action 2012 Radical Entertainment
11560,Maelstrom,Maelstrom Strategy KDV GamesMaelstrom chidvd Strategy 2007 KDV Games
11590,Hospital Tycoon,Hospital Tycoon Simulation Deep Red LimitedHospital Tycoon 76561198068565589 Simulation 2007 Deep Red Limited
11610,Dragon Nest,Dragon Nest Action Eyedentity Games Inc.Dragon Nest ii_voltage_ii Action 2012 Eyedentity Games Inc.
116100,Super Toy Cars,Super Toy Cars Indie Eclipse GamesSuper Toy Cars chidvd Indie 2014 Eclipse Games
116120,Lightfish,Lightfish Action Eclipse GamesLightfish 76561198015968275 Action 2011 Eclipse Games
11900,Lumines,Lumines Casual Q Entertainment Inc.Lumines 76561198045884541 Casual 2008 Q Entertainment Inc.
11920,Lumines: Advanced Pack,Lumines: Advanced Pack Casual Q Entertainment Inc.Lumines: Advanced Pack DontCareForURL Casual 2008 Q Entertainment Inc.
1200,Red Orchestra: Ostfront 41-45,Red Orchestra: Ostfront 41-45 Action Tripwire InteractiveRed Orchestra: Ostfront 41-45 maplemage Action 2006 Tripwire Interactive
12100,Grand Theft Auto III,Grand Theft Auto III Action Rockstar GamesGrand Theft Auto III diego9031 Action 2002 Rockstar Games
12110,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City Action Rockstar GamesGrand Theft Auto: Vice City diego9031 Action 2003 Rockstar Games
12120,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas Action Rockstar GamesGrand Theft Auto: San Andreas diego9031 Action 2005 Rockstar Games
12130,Manhunt,Manhunt Action Rockstar NorthManhunt 76561198030567998 Action 2004 Rockstar North
12140,Max Payne,Max Payne Action Remedy EntertainmentMax Payne 76561198030567998 Action 2001 Remedy Entertainment
12150,Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne Action Remedy EntertainmentMax Payne 2: The Fall of Max Payne 76561198030567998 Action 2003 Remedy Entertainment
12160,Midnight Club II,Midnight Club II Racing Rockstar San DiegoMidnight Club II maplemage Racing 2003 Rockstar San Diego
12200,Bully: Scholarship Edition,Bully: Scholarship Edition Action Rockstar New EnglandBully: Scholarship Edition 76561198030567998 Action 2008 Rockstar New England
12220,Grand Theft Auto: Episodes from Liberty City,Grand Theft Auto: Episodes from Liberty City Action Rockstar North / TorontoGrand Theft Auto: Episodes from Liberty City maplemage Action 2010 Rockstar North / Toronto
1230,Mare Nostrum,Mare Nostrum Action Sandstorm ProductionsMare Nostrum maplemage Action 2008 Sandstorm Productions
12310,Culpa Innata,Culpa Innata RPG Momentum Digital Media TechnologiesCulpa Innata chidvd RPG 2007 Momentum Digital Media Technologies
12320,Sacred Gold,Sacred Gold Action Ascaron Entertainment ltd.Sacred Gold L4M1NAS Action 2006 Ascaron Entertainment ltd.
12330,DarkStar One,DarkStar One Action Ascaron Entertainment ltd.DarkStar One chidvd Action 2006 Ascaron Entertainment ltd.
12340,Jack Keane,Jack Keane Adventure Deck13Jack Keane chidvd Adventure 2008 Deck13
12360,FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage Racing Bugbear EntertainmentFlatOut: Ultimate Carnage xfluttersx Racing 2008 Bugbear Entertainment
12390,Exodus from the Earth,Exodus from the Earth Action Parallax Arts StudioExodus from the Earth chidvd Action 2008 Parallax Arts Studio
12420,Perimeter 2: New Earth,Perimeter 2: New Earth Strategy KDV GamesPerimeter 2: New Earth chidvd Strategy 2009 KDV Games
12430,SlamIt Pinball: Big Score,SlamIt Pinball: Big Score Casual Technetium GamesSlamIt Pinball: Big Score chidvd Casual 2009 Technetium Games
12440,Ankh 2: Heart of Osiris,Ankh 2: Heart of Osiris Adventure Deck 13Ankh 2: Heart of Osiris chidvd Adventure 2007 Deck 13
12450,Ankh 3: Battle of the Gods,Ankh 3: Battle of the Gods Adventure Deck 13Ankh 3: Battle of the Gods chidvd Adventure 2009 Deck 13
12460,BC Kings,BC Kings Strategy Mascot EntertainmentBC Kings 76561198030636321 Strategy 2008 Mascot Entertainment
12470,Port Royale 2,Port Royale 2 Strategy Ascaron Entertainment ltd.Port Royale 2 chidvd Strategy 2004 Ascaron Entertainment ltd.
12480,9th Company - Roots of Terror,"9th Company - Roots of Terror Strategy Noviy Disk,Lesta Studios Inc9th Company - Roots of Terror chidvd Strategy 2009 Noviy Disk,Lesta Studios Inc"
1250,Killing Floor,Killing Floor Action Tripwire InteractiveKilling Floor maplemage Action 2009 Tripwire Interactive
12500,Puzzle Quest,Puzzle Quest Casual Infinite InteractivePuzzle Quest mrpfresh Casual 2007 Infinite Interactive
12510,Prison Tycoon 3: Lockdown,"Prison Tycoon 3: Lockdown Strategy Gamebryo,Virtual PlaygroundPrison Tycoon 3: Lockdown chidvd Strategy 2007 Gamebryo,Virtual Playground"
12520,18 Wheels of Steel: American Long Haul,18 Wheels of Steel: American Long Haul Racing SCS Software18 Wheels of Steel: American Long Haul chidvd Racing 2007 SCS Software
12530,Hunting Unlimited 2008,Hunting Unlimited 2008 Action SCS SoftwareHunting Unlimited 2008 chidvd Action 2007 SCS Software
12540,Mahjongg Investigations: Under Suspicion,Mahjongg Investigations: Under Suspicion Casual ZemnottMahjongg Investigations: Under Suspicion chidvd Casual 2007 Zemnott
12560,Ride! Carnival Tycoon,Ride! Carnival Tycoon Simulation Gabriel EntertainmentRide! Carnival Tycoon chidvd Simulation 2007 Gabriel Entertainment
12570,Hot Dish,Hot Dish Casual ZemnottHot Dish chidvd Casual 2008 Zemnott
12580,Dr. Daisy: Pet Vet,Dr. Daisy: Pet Vet Casual ZemnottDr. Daisy: Pet Vet chidvd Casual 2008 Zemnott
12590,Sprint Cars: Road to Knoxville,Sprint Cars: Road to Knoxville Racing BigAnt StudiosSprint Cars: Road to Knoxville chidvd Racing 2008 BigAnt Studios
12600,Midnight Outlaw: 6 Hours to Sun Up,"Midnight Outlaw: 6 Hours to Sun Up Racing Merscom,BabylonMidnight Outlaw: 6 Hours to Sun Up chidvd Racing 2005 Merscom,Babylon"
12630,Legend: Hand of God,Legend: Hand of God Action Master CreatingLegend: Hand of God chidvd Action 2008 Master Creating
12640,Drakensang,Drakensang RPG Radon LabsDrakensang chidvd RPG 2009 Radon Labs
12650,Fetch It Again,Fetch It Again Casual dtp – young entertainment Gmbh &amp; Co. KGFetch It Again phrostb Casual 2008 dtp – young entertainment Gmbh &amp; Co. KG
12660,Miss Popularity,Miss Popularity Casual dtp – young entertainment Gmbh &amp; Co. KGMiss Popularity phrostb Casual 2007 dtp – young entertainment Gmbh &amp; Co. KG
12670,Mission Runway,Mission Runway Simulation Virtual PlaygroundMission Runway chidvd Simulation 2008 Virtual Playground
12710,Overlord: Raising Hell,"Overlord: Raising Hell RPG Triumph Studios,Virtual ProgrammingOverlord: Raising Hell MarbleShrine RPG 2008 Triumph Studios,Virtual Programming"
12770,Rise of the Argonauts,Rise of the Argonauts RPG Liquid EntertainmentRise of the Argonauts 76561198068565589 RPG 2008 Liquid Entertainment
12790,Damnation,Damnation Action Blue Omega EntertainmentDamnation UnholyFallenAngel Action 2009 Blue Omega Entertainment
1280,Darkest Hour: Europe '44-'45,Darkest Hour: Europe '44-'45 Action Darklight GamesDarkest Hour: Europe '44-'45 maplemage Action 2009 Darklight Games
12810,Overlord II,"Overlord II RPG Triumph Studios,Virtual ProgrammingOverlord II maplemage RPG 2009 Triumph Studios,Virtual Programming"
12830,Operation Flashpoint: Dragon Rising,Operation Flashpoint: Dragon Rising Action Codemasters StudiosOperation Flashpoint: Dragon Rising 76561198151910904 Action 2009 Codemasters Studios
12900,Audiosurf,Audiosurf Indie Dylan FittererAudiosurf maplemage Indie 2008 Dylan Fitterer
130,Half-Life: Blue Shift,Half-Life: Blue Shift Action Gearbox SoftwareHalf-Life: Blue Shift maplemage Action 2001 Gearbox Software
1300,SiN Episodes: Emergence,SiN Episodes: Emergence Action Ritual EntertainmentSiN Episodes: Emergence UTNerd24 Action 2006 Ritual Entertainment
13000,Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition Casual Sanzaru GamesNinja Reflex: Steamworks Edition AMV72 Casual 2008 Sanzaru Games
13200,Unreal II: The Awakening,"Unreal II: The Awakening Action Epic Games, Inc.Unreal II: The Awakening jonasdbomb Action 2003 Epic Games, Inc."
