user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
maplemage,http://steamcommunity.com/id/maplemage,3 people found this review funny,"Posted April 15, 2014.",,211420,35 of 43 people (81%) found this review helpful,True,1
maplemage,http://steamcommunity.com/id/maplemage,1 person found this review funny,"Posted December 23, 2013.",,211820,12 of 16 people (75%) found this review helpful,True,1
maplemage,http://steamcommunity.com/id/maplemage,2 people found this review funny,"Posted March 14, 2014.",,730,5 of 5 people (100%) found this review helpful,True,2
Wackky,http://steamcommunity.com/id/Wackky,1 person found this review funny,"Posted October 21, 2012.","Last edited November 25, 2013.",550,1 of 1 people (100%) found this review helpful,True,1
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,1 person found this review funny,Posted May 20.,,730,0 of 1 people (0%) found this review helpful,True,1
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,5 people found this review funny,"Posted February 1, 2015.",,72850,3 of 3 people (100%) found this review helpful,True,0
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,1 person found this review funny,"Posted June 20, 2014.",,440,3 of 3 people (100%) found this review helpful,True,1
DJKamBer,http://steamcommunity.com/id/DJKamBer,1 person found this review funny,"Posted July 20, 2015.",,218620,2 of 6 people (33%) found this review helpful,True,2
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,17 people found this review funny,"Posted February 17, 2015.",,220200,28 of 31 people (90%) found this review helpful,True,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,1 person found this review funny,Posted May 16.,,4000,0 of 1 people (0%) found this review helpful,True,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,2 people found this review funny,"Posted May 19, 2015.",,219640,1 of 5 people (20%) found this review helpful,True,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,1 person found this review funny,"Posted October 17, 2014.",,242700,No ratings yet,True,1
diego9031,http://steamcommunity.com/id/diego9031,1 person found this review funny,"Posted December 5, 2015.",,223710,No ratings yet,True,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,2 people found this review funny,"Posted December 2, 2015.",,440,1 of 2 people (50%) found this review helpful,True,0
UTNerd24,http://steamcommunity.com/id/UTNerd24,2 people found this review funny,"Posted June 6, 2015.",,376920,13 of 27 people (48%) found this review helpful,True,2
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,1 person found this review funny,"Posted December 17, 2015.",,252490,No ratings yet,True,2
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,1 person found this review funny,Posted April 20.,,236430,2 of 5 people (40%) found this review helpful,True,1
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,1 person found this review funny,"Posted June 26, 2015.",,333930,0 of 2 people (0%) found this review helpful,True,1
sad-commie,http://steamcommunity.com/id/sad-commie,2 people found this review funny,Posted August 31.,,294100,2 of 2 people (100%) found this review helpful,True,0
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2 people found this review funny,"Posted November 11, 2014.",,332800,194 of 282 people (69%) found this review helpful,True,1
sergarino,http://steamcommunity.com/id/sergarino,524 people found this review funny,"Posted August 22, 2015.",,383080,424 of 470 people (90%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,4 people found this review funny,"Posted December 30, 2015.",,265610,28 of 41 people (68%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,"Posted August 1, 2014.",,264200,4 of 4 people (100%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,3 people found this review funny,"Posted December 26, 2015.",,417860,2 of 2 people (100%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,"Posted April 14, 2015.",,333600,2 of 2 people (100%) found this review helpful,True,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,"Posted December 30, 2014.",,213670,2 of 2 people (100%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,"Posted December 4, 2013.",,91310,1 of 1 people (100%) found this review helpful,True,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,Posted August 19.,,437220,7 of 13 people (54%) found this review helpful,False,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,1 person found this review funny,"Posted December 4, 2013.",,210770,No ratings yet,True,0
xfluttersx,http://steamcommunity.com/id/xfluttersx,12 people found this review funny,"Posted November 10, 2015.",,351640,97 of 102 people (95%) found this review helpful,True,1
xfluttersx,http://steamcommunity.com/id/xfluttersx,1 person found this review funny,"Posted August 27, 2012.",,105600,2 of 3 people (67%) found this review helpful,True,2
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,3 people found this review funny,"Posted April 11, 2015.",,339280,2 of 5 people (40%) found this review helpful,True,2
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,1 person found this review funny,"Posted November 11, 2015.",,440,No ratings yet,True,1
StelerForYou,http://steamcommunity.com/id/StelerForYou,1 person found this review funny,"Posted July 17, 2015.",,730,1 of 1 people (100%) found this review helpful,True,2
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,1 person found this review funny,Posted July 20.,,346330,2 of 7 people (29%) found this review helpful,False,1
kevinator23,http://steamcommunity.com/id/kevinator23,2 people found this review funny,"Posted July 6, 2015.",,320760,4 of 6 people (67%) found this review helpful,True,0
kevinator23,http://steamcommunity.com/id/kevinator23,1 person found this review funny,"Posted July 6, 2015.",Last edited March 8.,218620,2 of 5 people (40%) found this review helpful,True,0
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,2 people found this review funny,Posted July 8.,,299740,0 of 18 people (0%) found this review helpful,False,0
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,2 people found this review funny,Posted July 23.,,322170,1 of 2 people (50%) found this review helpful,True,2
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,2 people found this review funny,Posted September 9.,,346110,2 of 12 people (17%) found this review helpful,True,1
L1J1N,http://steamcommunity.com/id/L1J1N,1 person found this review funny,"Posted June 13, 2014.",,570,1 of 2 people (50%) found this review helpful,True,2
